                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.1152,                 2.7267,                 2.8283,                0.45913,                 0.2665,                0.20124,                0.11284,                 1.6234,                  2.043,                 2.6685,             0.00027635,             0.00027635,             0.00027635
                      2,                 1.6366,                  1.975,                 2.6323,                0.31251,                0.34374,                0.27322,                0.16367,                 1.4999,                 1.8668,                 2.5867,             0.00053835,             0.00053835,             0.00053835
                      3,                 1.5209,                 1.8899,                 2.5879,                0.44688,                0.35787,                0.29694,                0.18239,                 1.4516,                 1.8086,                 2.5616,             0.00078463,             0.00078463,             0.00078463
                      4,                 1.4614,                 1.8272,                 2.5525,                0.45771,                0.37244,                0.32328,                0.20314,                 1.3912,                 1.7625,                 2.5072,             0.00076231,             0.00076231,             0.00076231
                      5,                 1.4078,                 1.7712,                  2.507,                0.45197,                0.38487,                0.32692,                0.21502,                 1.3325,                 1.7306,                 2.5172,             0.00073875,             0.00073875,             0.00073875
                      6,                 1.3696,                 1.7254,                 2.4845,                0.47299,                0.38663,                 0.3365,                 0.2187,                 1.3251,                 1.7321,                 2.5099,             0.00071519,             0.00071519,             0.00071519
                      7,                 1.3469,                  1.698,                 2.4991,                0.47413,                0.40753,                0.35209,                0.23781,                 1.2762,                  1.692,                 2.4871,             0.00069163,             0.00069163,             0.00069163
                      8,                 1.2976,                 1.6547,                 2.4676,                0.49228,                0.39838,                0.36469,                0.24987,                  1.243,                 1.6689,                 2.4715,             0.00066807,             0.00066807,             0.00066807
                      9,                  1.273,                 1.6257,                 2.4412,                0.49303,                0.39506,                0.35775,                0.24144,                 1.2349,                 1.6381,                 2.4474,              0.0006445,              0.0006445,              0.0006445
                     10,                 1.2561,                 1.5914,                 2.4462,                0.52005,                0.39531,                0.38086,                0.26595,                 1.2181,                 1.6488,                 2.4566,             0.00062094,             0.00062094,             0.00062094
                     11,                 1.2566,                 1.5854,                 2.4267,                0.51306,                0.40403,                0.38976,                0.27575,                 1.2112,                 1.6221,                 2.4666,             0.00059738,             0.00059738,             0.00059738
                     12,                 1.2114,                 1.5405,                 2.4081,                0.54688,                0.36573,                0.37798,                0.26083,                 1.2165,                 1.6264,                 2.4479,             0.00057382,             0.00057382,             0.00057382
                     13,                 1.2141,                 1.5326,                 2.4087,                0.51334,                0.39816,                0.38158,                0.26281,                 1.2278,                 1.6178,                 2.4281,             0.00055026,             0.00055026,             0.00055026
                     14,                 1.1939,                 1.5164,                 2.3941,                0.51305,                0.40789,                0.37615,                0.26011,                 1.2161,                 1.6094,                 2.4463,             0.00052669,             0.00052669,             0.00052669
                     15,                 1.1841,                 1.4851,                 2.3895,                0.50505,                0.39601,                0.37863,                0.26518,                 1.1965,                 1.6216,                 2.4444,             0.00050313,             0.00050313,             0.00050313
